preview	exp_id	template	contributors	time	cognitive_atlas_task_id
"<a href=""angling_risk_task_always_sunny.html"" target=""_blank"">DEMO</a>"	angling_risk_task_always_sunny	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	20	trm_5667488d52ccc
"<a href=""bickel_titrator.html"" target=""_blank"">DEMO</a>"	bickel_titrator	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_5696a599bfcb6
"<a href=""local_global_shape.html"" target=""_blank"">DEMO</a>"	local_global_shape	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	8	trm_4f241d7adf14e
"<a href=""willingness_to_wait.html"" target=""_blank"">DEMO</a>"	willingness_to_wait	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	11	trm_569989ef8cff4
"<a href=""attention_network_task.html"" target=""_blank"">DEMO</a>"	attention_network_task	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	15	trm_551f0857e1db8
"<a href=""random_number_generation.html"" target=""_blank"">DEMO</a>"	random_number_generation	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	3	trm_4f2417d4a63ae
"<a href=""stim_selective_stop_signal.html"" target=""_blank"">DEMO</a>"	stim_selective_stop_signal	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	22	trm_56a9123fe580f
"<a href=""motor_selective_stop_signal.html"" target=""_blank"">DEMO</a>"	motor_selective_stop_signal	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	22	trm_4cacf3fbc503b
"<a href=""ravens.html"" target=""_blank"">DEMO</a>"	ravens	jspsych	Zeynep Enkavi,Ian Eisenberg,Patrick Bissett,Vanessa Sochat,Russell Poldrack	999	trm_4f24211a03b07
"<a href=""letter_memory.html"" target=""_blank"">DEMO</a>"	letter_memory	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_5696a9cfe45b1
"<a href=""information_sampling_task.html"" target=""_blank"">DEMO</a>"	information_sampling_task	jspsych	Jamie Li,Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	12	trm_50f73d557c967
"<a href=""gm_paradigm.html"" target=""_blank"">DEMO</a>"	gm_paradigm	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	45	trm_569d6eef27433
"<a href=""tower_of_london.html"" target=""_blank"">DEMO</a>"	tower_of_london	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_4da87e439c411
"<a href=""digit_span.html"" target=""_blank"">DEMO</a>"	digit_span	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	7	tsk_4a57abb949a0d
"<a href=""adaptive_n_back.html"" target=""_blank"">DEMO</a>"	adaptive_n_back	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	20	trm_56674133b666c
"<a href=""stop_signal.html"" target=""_blank"">DEMO</a>"	stop_signal	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	30	tsk_4a57abb949e1a
"<a href=""test_task.html"" target=""_blank"">DEMO</a>"	test_task	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	1	tsk_4a57abb949dc8
"<a href=""flanker.html"" target=""_blank"">DEMO</a>"	flanker	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	6.5	tsk_4a57abb949a4f
"<a href=""choice_reaction_time.html"" target=""_blank"">DEMO</a>"	choice_reaction_time	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	tsk_4a57abb949934
"<a href=""emotion_regulation.html"" target=""_blank"">DEMO</a>"	emotion_regulation	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	10	trm_4da890594742a
"<a href=""number_letter.html"" target=""_blank"">DEMO</a>"	number_letter	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_4c3e0a9576c3b
"<a href=""angling_risk_task.html"" target=""_blank"">DEMO</a>"	angling_risk_task	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	25	trm_5667488d52ccc
"<a href=""antisaccade.html"" target=""_blank"">DEMO</a>"	antisaccade	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	8	tsk_4a57abb949869
"<a href=""keep_track.html"" target=""_blank"">DEMO</a>"	keep_track	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	6	trm_4c40d4054f38b
"<a href=""ax_cpt.html"" target=""_blank"">DEMO</a>"	ax_cpt	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	20	trm_4c40d2a93ea15
"<a href=""spatial_span.html"" target=""_blank"">DEMO</a>"	spatial_span	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	7	trm_4da86b539924c
"<a href=""stroop.html"" target=""_blank"">DEMO</a>"	stroop	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	8	tsk_4a57abb949e27
"<a href=""volatile_bandit.html"" target=""_blank"">DEMO</a>"	volatile_bandit	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	18	trm_5696b180169bd
"<a href=""plus_minus.html"" target=""_blank"">DEMO</a>"	plus_minus	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_5696b316c220a
"<a href=""writing_task.html"" target=""_blank"">DEMO</a>"	writing_task	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	trm_4c8a85c5c75eb
"<a href=""multisource.html"" target=""_blank"">DEMO</a>"	multisource	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	7	trm_5696b61ff253e
"<a href=""dot_pattern_expectancy.html"" target=""_blank"">DEMO</a>"	dot_pattern_expectancy	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	15	trm_4da86c2a70a7d
"<a href=""hierarchical_rule.html"" target=""_blank"">DEMO</a>"	hierarchical_rule	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	22	trm_5696bb7166121
"<a href=""directed_forgetting.html"" target=""_blank"">DEMO</a>"	directed_forgetting	jspsych	Jamie Li,Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	22	trm_56674c7c2fa4f
"<a href=""dietary_decision.html"" target=""_blank"">DEMO</a>"	dietary_decision	jspsych	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	14	trm_56674d6aa9faf
