doi	run	name	contributors	time	notes	reference	lab	cognitive_atlas_concept_id	cognitive_atlas_concept	tag	cognitive_atlas_task_id	preview
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5			Poldracklab	trm_4aae62e4ad209	cognitive control	local_global		"<a href=""exp_hub?exp=local_global"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	3.5			Poldracklab	trm_4aae62e4ad209	cognitive control	simple_rt		"<a href=""exp_hub?exp=simple_rt"" target=""_blank"">DEMO</a>"
	experiment.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	Condition records difficulty as quantified by the sequence length	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	letter_memory		"<a href=""exp_hub?exp=letter_memory"" target=""_blank"">DEMO</a>"
	experiment.js,static/js/jspsych/plugins/jspsych-call-function.js	Cognitive control and brain resources in major depression: An fMRI study using the n-back task	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	16	This task differs in that the subject only has to respond on target trials, rather than indicating whether the current trial is a match or not. Condition records the n for that block of trials. The second reference is not explicitly used.	http://www.sciencedirect.com/science/article/pii/S1053811905001424,http://www.pnas.org/content/105/19/6829.full	Poldracklab	trm_4aae62e4ad209	cognitive control	adaptive_n_back		"<a href=""exp_hub?exp=adaptive_n_back"" target=""_blank"">DEMO</a>"
	experiment.js,jspsych-stop-signal.js,static/js/jspsych/plugins/jspsych-call-function.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	30	Condition refers to whether the trial is practice or high_freq/low_freq (the two test conditions) as well as whether it was a go or SS trial	http://www.pnas.org/content/suppl/2009/04/20/0808187106.DCSupplemental/0808187106SI.pdf#nameddest=STXT	Poldracklab	trm_4aae62e4ad209	cognitive control	stop_signal		"<a href=""exp_hub?exp=stop_signal"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	6.5			Poldracklab	trm_4aae62e4ad209	cognitive control	flanker		"<a href=""exp_hub?exp=flanker"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	5	condition indicates block (which task, or rotateswitch block) and trial_id indicates stimulus position	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	number_letter		"<a href=""exp_hub?exp=number_letter"" target=""_blank"">DEMO</a>"
10.1006/cogp.1999.0734	experiment.js,style.css	The unity and diversity of executive functions and their contributions to complex “Frontal Lobe” tasks: a latent variable analysis	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	8			Poldracklab	trm_4aae62e4ad209	cognitive control	antisaccade		"<a href=""exp_hub?exp=antisaccade"" target=""_blank"">DEMO</a>"
	experiment.js,static/js/jspsych/custom_plugins/jspsych-categorize-audio.js,static/js/jspsych/plugins/jspsych-single-audio.js,static/js/jspsych/plugins/jspsych-call-function.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	6	condition indicates practice/test, trial_id indicates stimulus heard on each trial. Correct response is determined by repetitions since last response and is not calculated in this script (calculate in post)	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	tone_monitoring		"<a href=""exp_hub?exp=tone_monitoring"" target=""_blank"">DEMO</a>"
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	6	Condition indicates difficulty as quantified by the 'target length': the number of categories the subject had to remember	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	keep_track		"<a href=""exp_hub?exp=keep_track"" target=""_blank"">DEMO</a>"
